,genres
1613,slap house
1614,romanian trap
1615,romanian trap
1616,manele
1617,romanian trap
1618,romanian rap
1619,romanian trap
1620,romanian trap
1621,manele
1622,romanian pop
1623,romanian trap
1624,romanian trap
1625,romanian trap
1626,moldovan pop
1627,romanian pop
1628,romanian trap
1629,romanian trap
1630,moldovan pop
1631,romanian pop
1632,manele
1633,romanian rap
1634,manele
1635,romanian pop
1636,romanian trap
1637,manele
1638,manele
1639,romanian pop
1640,romanian trap
1641,manele
1642,russian hip hop
1643,russian trap
1644,russian hip hop
1645,russian trap
1646,russian hip hop
1647,russian trap
1648,russian alt pop
1649,russian electronic
1650,russian hip hop
1651,russian trap
1652,russian hip hop
1653,russian drain
1654,russian emo rap
1655,russian hip hop
1656,central asian hip hop
1657,kazakh hip hop
